;Unnamed: 0;id;compagny_name;address;code_nace;code_nace_desc
0;0;54170;SECOND EURO INDUSTRIAL DREIEICH S.A R.L.;6C, RUE GABRIEL LIPPMANN,L-5365 MUNSBACH;64.209;Activités des sociétés holding n.c.a.
1;1;54171;SIMABU S.A R.L.;1, RUE DE LA FONTAINE,L-3768 TETANGE;56.101;Restaurants
2;2;54172;I.43 LA PETITE AUBERGE;7, RUE DES TROIS CANTONS,L-3980 WICKRANGE;41.1;Promotion immobilière
3;3;54173;BEYER DEMENAGEMENTS LUXEMBOURG SARL;13, RUE DU CHEMIN DE FER,L-8057 BERTRANGE;49.42;Services de déménagement
4;4;54174;TENGIZCHEVROIL FINANCE COMPANY S.A R.L.;46A, AVENUE JOHN F. KENNEDY,L-1855 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
5;5;54175;TELEGLOBE LUXEMBOURG S.A R.L.;33, BOULEVARD PRINCE HENRI,L-1724 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
6;6;54176;WOOD LUXEMBOURG PROPERTIES S.A R.L.;412F, ROUTE D'ESCH,L-1030 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
7;7;54177;LODGING PRODUCTS & SERVICES S.A R.L.;55, AVENUE DE LA LIBERTE,L-1931 LUXEMBOURG;70.22;Conseil pour les affaires et autres conseils de gestion
8;8;54178;AVALON INVESTMENT SARL;15, BOULEVARD FRANKLIN D. ROOSEVELT,L-2450 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
9;9;54179;PAPIER-METTLER LUXEMBOURG GMBH;6D, ROUTE DE TREVES,L-2633 SENNINGERBERG;69.2;Activités comptables
10;0;54180;FACTSET EUROPE S.A R.L.;73, COTE D'EICH,L-1450 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
11;1;54181;PAUL WIRTZ S.A R.L.;59, ESP. DE LA MOSELLE,L-6637 WASSERBILLIG;43.22;Travaux de plomberie et installation de chauffage et de conditionnement d'air
12;2;54182;ELETTRA HOLDINGS S.A R.L.;20, RUE DE LA POSTE,L-2346 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
13;3;54183;NEO PROJECT, S.A R.L.;68, RUE DE LA LIBERATION,L-3511 DUDELANGE;68.31;Agences immobilières
14;4;54184;S.A R.L. FIDUGEC;31, GRAND-RUE,L-1661 LUXEMBOURG;69.2;Activités comptables
15;0;54190;JAKEL ENTERPRISES S.A R.L.;11, BOULEVARD ROYAL,L-2449 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
16;1;54191;MARIANNE 2000 S.A R.L.;45, ROUTE D'ARLON,L-1140 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
17;2;54192;PARC DU SOLEIL S.A R.L.;45, ROUTE D'ARLON,L-1140 LUXEMBOURG;64.202;Sociétés de participation financière (Soparfi)
